branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind,wyckoff,wyckoff_ratio
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,52882,2024-03-04 21:45:00,52883,2024-03-04 22:00:00,2063.0,2049.8060721633638,2076.1939278366362,13.193927836636249,2048.0,52896,2024-03-05 01:15:00,2076.1939278366362,TP,1.0,0.06063395297483737,0.9393660470251626,-0.30316976487418684,1.0610941770596538,14,C,4.0,False,0.8,0.36666666666666664,2019.0,1962.4235667226137,False,71.64557466181749,5.277571134654581,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,53134,2024-03-07 12:45:00,53135,2024-03-07 13:00:00,2136.0,2122.239731843353,2149.760268156647,13.760268156646816,2118.0,53146,2024-03-07 15:45:00,2122.239731843353,SL,-1.0,0.058138401875080084,-1.0581384018750801,-1.0900950351577514,0.2906920093754004,12,C,1.75,True,0.6666666666666666,0.30952380952380953,2111.0,1966.1493245993329,False,64.52416971461614,5.504107262658775,IMPULSE_W5,False,
B01_LONG_CORE,G_BASE47,1,2.0,55187,2024-04-05 22:00:00,55188,2024-04-05 22:15:00,2313.0,2301.9034542094914,2324.0965457905086,11.096545790508571,2300.0,55195,2024-04-08 00:00:00,2301.9034542094914,SL,-1.0,0.07209450716494857,-1.0720945071649486,-2.2529533489046427,0.9912994735180427,8,B,1.3513513513513513,True,0.4594594594594595,0.4,2269.0,2007.1499636691449,False,65.87329022549528,4.4386183162034785,IMPULSE_W5,False,
B02_LONG_EMA200_FIBOFF,G_BASE47,1,2.0,59922,2024-06-14 05:45:00,59923,2024-06-14 06:00:00,2314.0,2306.0051743985096,2321.9948256014904,7.994825601490447,2305.0,59945,2024-06-14 11:30:00,2321.9948256014904,TP,1.0,0.1000647218434457,0.8999352781565543,-0.8755663161301498,1.0006472184344568,23,B,1.5833333333333333,False,0.8333333333333334,0.42105263157894735,2297.0,2138.4598900813166,True,50.88022107569782,3.197930240596263,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,61682,2024-07-10 13:45:00,61683,2024-07-10 14:00:00,2362.0,2354.490652036543,2369.509347963457,7.509347963457003,2349.0,61685,2024-07-10 14:30:00,2354.490652036543,SL,-1.0,0.10653388335353048,-1.1065338833535305,-1.1985061877272178,0.0,3,C,1.8181818181818181,False,0.8181818181818182,0.5,2343.0,2168.8530520010067,False,72.14699753493942,3.003739185382859,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,65122,2024-08-29 09:45:00,65123,2024-08-29 10:00:00,2513.0,2505.9205220518816,2520.0794779481184,7.079477948118438,2505.0,65133,2024-08-29 12:30:00,2505.9205220518816,SL,-1.0,0.11300268266428058,-1.1130026826642805,-1.8362935932945594,0.28250670666070143,11,C,1.8666666666666667,False,0.9333333333333333,0.2857142857142857,2499.0,2250.213548883075,False,59.55339413904926,2.831791179247415,IMPULSE_W5,False,
B01_LONG_CORE,G_BASE47,1,2.0,66174,2024-09-13 08:45:00,66175,2024-09-13 09:00:00,2567.0,2560.7997001438325,2573.2002998561675,6.200299856167476,2560.0,66182,2024-09-13 10:45:00,2560.7997001438325,SL,-1.0,0.12902601786335144,-1.1290260178633513,-2.419237834937839,0.32256504465837854,8,B,1.1764705882352942,True,0.5294117647058824,0.3,2553.0,2277.206853065042,False,77.2085016717522,2.4801199424670584,IMPULSE_W5,False,
B02_LONG_EMA200_FIBOFF,G_BASE47,1,2.0,66662,2024-09-20 10:45:00,66663,2024-09-20 11:00:00,2612.0,2603.4654039695533,2620.5345960304467,8.534596030446664,2601.0,66683,2024-09-20 16:00:00,2620.5345960304467,TP,1.0,0.09373612964761865,0.9062638703523813,-0.9373612964761865,1.171701620595233,21,B,1.2857142857142858,False,0.42857142857142855,0.5555555555555556,2590.0,2292.1704294368824,False,62.18834272825935,3.4138384121786003,IMPULSE_W5,False,
B01_LONG_CORE,G_BASE47,1,2.0,68375,2024-10-16 07:00:00,68376,2024-10-16 07:15:00,2681.0,2674.3849236661745,2687.6150763338255,6.615076333825527,2674.0,68388,2024-10-16 10:15:00,2687.6150763338255,TP,1.0,0.12093586825435113,0.8790641317456489,-0.3023396706358778,1.0581888472255723,13,B,1.1333333333333333,True,0.6666666666666666,0.35294117647058826,2671.0,2351.481164307183,False,66.74060485704325,2.646030533530287,IMPULSE_W5,False,
B03_LONG_W3A_HV,G_BASE47,1,2.0,68682,2024-10-21 11:45:00,68683,2024-10-21 12:00:00,2752.0,2745.1801506241286,2758.8198493758714,6.819849375871399,2741.0,68686,2024-10-21 12:45:00,2745.1801506241286,SL,-1.0,0.11730464353514858,-1.1173046435351486,-1.1730464353514858,0.29326160883787145,4,A,0.9629629629629629,True,0.6296296296296297,0.3076923076923077,2727.0,2361.8848792051263,False,67.28347998617258,2.727939750348486,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,69944,2024-11-07 15:15:00,69945,2024-11-07 15:30:00,2694.0,2683.493813098815,2704.506186901185,10.506186901185174,2679.0,69948,2024-11-07 16:15:00,2683.493813098815,SL,-1.0,0.07614560901346179,-1.0761456090134618,-1.1421841352019269,0.19036402253365448,4,C,1.8571428571428572,False,0.8095238095238095,0.3076923076923077,2654.0,2408.5857240335044,True,58.252194183305896,4.202474760473988,IMPULSE_W5,False,
