branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,16482,2022-09-20 16:30:00,16483,2022-09-20 16:45:00,1655.0,1656.4536224368355,1652.8195663447468,1.4536224368355306,1660.0,16484,2022-09-20 17:00:00,1656.4536224368355,SL,-1.0,0.3577270044978228,-1.3577270044978227,-1.3758730942223953,0.6879365471111977,2,B,1.5555555555555556,True,0.5555555555555556,0.5,1666.0,1803.3429232446456,True,41.55864785197087,1.938163249114125,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,16747,2022-09-23 10:45:00,16748,2022-09-23 11:00:00,1636.0,1638.469283702379,1632.2960744464315,2.469283702379016,1654.0,16748,2022-09-23 11:00:00,1638.469283702379,SL,-1.0,0.2105873859285627,-1.2105873859285627,-1.6199029686812514,0.0,1,C,3.0,True,0.6666666666666666,0.3333333333333333,1666.0,1799.1467579282412,True,36.672115980921184,3.2923782698387183,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,18493,2022-10-19 15:15:00,18494,2022-10-19 15:30:00,1626.0,1627.4126435394942,1623.8810346907587,1.4126435394941836,1632.0,18495,2022-10-19 15:45:00,1623.8810346907587,TP,1.5,0.3681041858487479,1.131895814151252,-0.7078926650937459,2.1236779952812377,2,A,0.8461538461538461,False,0.3076923076923077,0.45454545454545453,1645.0,1776.7179317695254,True,28.679175972484444,1.8835247193254505,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,19153,2022-10-28 12:15:00,19154,2022-10-28 12:30:00,1640.0,1641.399438026249,1637.9008429606265,1.3994380262490722,1645.0,19154,2022-10-28 12:30:00,1641.399438026249,SL_FIRST,-1.0,0.3715777263776098,-1.3715777263776099,-5.0020078550832086,3.572862753630863,1,C,2.125,False,0.75,0.23529411764705882,1654.0,1767.6078271340293,True,32.554808227278,1.8659173683322157,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,19526,2022-11-03 09:30:00,19527,2022-11-03 09:45:00,1618.0,1619.7423577410932,1615.3864633883602,1.7423577410932012,1624.0,19527,2022-11-03 09:45:00,1619.7423577410932,SL,-1.0,0.29844617309975524,-1.2984461730997552,-1.14786989653752,0.57393494826876,1,A,0.5,False,0.3333333333333333,0.2777777777777778,1628.0,1762.319002136019,True,29.14408943193341,2.3231436547910254,IMPULSE_W5
B06_SHORT_RSI_FIBOFF,G_PROD,-1,2.0,21200,2022-11-28 20:00:00,21201,2022-11-28 20:15:00,1739.0,1740.3698008149274,1736.945298777609,1.36980081492743,1747.0,21204,2022-11-28 21:00:00,1740.3698008149274,SL,-1.0,0.37961723655971746,-1.3796172365597175,-1.4600662944604519,1.4600662944604519,4,C,2.142857142857143,False,0.8571428571428571,0.5333333333333333,1749.0,1757.250351072156,False,36.81840312836711,1.8264010865699476,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,21433,2022-12-01 06:15:00,21434,2022-12-01 06:30:00,1772.0,1769.946439436643,1775.0803408450356,2.0535605633569958,1762.0,21447,2022-12-01 09:45:00,1769.946439436643,SL,-1.0,0.25321873105604725,-1.2532187310560472,-1.4608772945541189,0.4869590981847063,14,C,3.875,False,0.875,0.2903225806451613,1763.0,1756.9792289276227,False,70.43052483058408,2.0535605633570015,IMPULSE_W5
B03_LONG_W3A_HV,G_PROD,1,2.0,22978,2022-12-23 08:30:00,22979,2022-12-23 08:45:00,1808.0,1805.9994047470032,1811.0008928794953,2.0005952529968454,1801.0,22981,2022-12-23 09:15:00,1811.0008928794953,TP,1.5,0.2599226401347559,1.2400773598652441,-0.49985123102837675,3.498958617198637,3,A,0.8,False,0.3,0.5,1795.0,1762.446471808693,False,51.372502321705795,2.0005952529969475,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,23759,2023-01-04 11:45:00,23760,2023-01-04 12:00:00,1861.0,1858.6781967376166,1864.482704893575,2.321803262383355,1856.0,23760,2023-01-04 12:00:00,1858.6781967376166,SL_FIRST,-1.0,0.2239638510397365,-1.2239638510397366,-1.2920991406138644,3.0148979947656835,1,C,2.4285714285714284,True,0.5714285714285714,0.29411764705882354,1841.0,1766.6113800898152,False,73.36759538814273,2.321803262383321,IMPULSE_W5
B02_LONG_EMA200_FIBOFF,G_PROD,1,2.0,24418,2023-01-13 08:30:00,24419,2023-01-13 08:45:00,1894.0,1892.1061003289135,1896.8408495066296,1.8938996710865013,1887.0,24420,2023-01-13 09:00:00,1892.1061003289135,SL,-1.0,0.27456575865060684,-1.2745657586506067,-1.0560221486561803,1.0560221486561803,2,B,1.5454545454545454,False,0.6363636363636364,0.5294117647058824,1884.0,1772.9815182218765,False,63.963600699490776,1.8938996710866012,IMPULSE_W5
B02_LONG_EMA200_FIBOFF,G_PROD,1,2.0,25605,2023-01-31 17:15:00,25606,2023-01-31 17:30:00,1896.0,1892.5857473823398,1901.1213789264903,3.4142526176601677,1886.0,25606,2023-01-31 17:30:00,1892.5857473823398,SL,-1.0,0.1523027315876711,-1.152302731587671,-1.7573392106269743,0.0,1,C,2.3333333333333335,False,0.8888888888888888,0.38095238095238093,1896.0,1787.8343222900241,False,46.48557732828707,3.4142526176602526,IMPULSE_W5
